t2,d_sensor2
0.0,509.0
0.001,507.0
0.002,505.0
0.003,504.0
0.004,507.0
0.005,511.0
0.006,516.0
0.007,521.0
0.008,524.0
0.009000000000000001,525.0
0.01,527.0
0.011,527.0
0.012,524.0
0.013000000000000001,520.0
0.014,514.0
0.015,512.0
0.016,509.0
0.017,508.0
0.018000000000000002,509.0
0.019,511.0
0.02,511.0
0.021,512.0
0.022,514.0
0.023,515.0
0.024,516.0
0.025,518.0
0.026000000000000002,519.0
0.027,519.0
0.028,518.0
0.029,515.0
0.03,512.0
0.031,508.0
0.032,506.0
0.033,505.0
0.034,505.0
0.035,504.0
0.036000000000000004,505.0
0.037,509.0
0.038,512.0
0.039,516.0
0.04,520.0
0.041,523.0
0.042,524.0
0.043000000000000003,524.0
0.044,524.0
0.045,523.0
0.046,521.0
0.047,518.0
0.048,515.0
0.049,512.0
0.05,508.0
0.051000000000000004,505.0
0.052000000000000005,504.0
0.053,504.0
0.054,508.0
0.055,511.0
0.056,515.0
0.057,519.0
0.058,520.0
0.059000000000000004,518.0
0.06,516.0
0.061,514.0
0.062,513.0
0.063,510.0
0.064,507.0
0.065,503.0
0.066,502.0
0.067,503.0
0.068,503.0
0.069,503.0
0.07,504.0
0.07100000000000001,508.0
0.07200000000000001,513.0
0.073,516.0
0.074,519.0
0.075,521.0
0.076,524.0
0.077,522.0
0.078,519.0
0.079,515.0
0.08,513.0
0.081,510.0
0.082,507.0
0.083,505.0
0.084,504.0
0.085,503.0
0.08600000000000001,501.0
0.08700000000000001,502.0
0.088,505.0
0.089,510.0
0.09,515.0
0.091,519.0
0.092,520.0
0.093,518.0
0.094,517.0
0.095,514.0
0.096,511.0
0.097,508.0
0.098,506.0
0.099,505.0
0.1,504.0
0.101,502.0
0.10200000000000001,501.0
0.10300000000000001,500.0
0.10400000000000001,500.0
0.105,501.0
0.106,502.0
0.107,506.0
0.108,511.0
0.109,512.0
0.11,512.0
0.111,512.0
0.112,511.0
0.113,508.0
0.114,507.0
0.115,505.0
0.116,502.0
0.117,500.0
0.11800000000000001,498.0
0.11900000000000001,499.0
0.12,500.0
0.121,503.0
0.122,508.0
0.123,513.0
0.124,519.0
0.125,523.0
0.126,526.0
0.127,527.0
0.128,526.0
0.129,524.0
0.13,522.0
0.131,519.0
0.132,516.0
0.133,516.0
0.134,516.0
0.135,516.0
0.136,519.0
0.137,522.0
0.138,525.0
0.139,529.0
0.14,533.0
0.14100000000000001,534.0
0.14200000000000002,534.0
0.14300000000000002,532.0
0.14400000000000002,531.0
0.145,529.0
0.146,527.0
0.147,522.0
0.148,518.0
0.149,515.0
0.15,512.0
0.151,510.0
0.152,510.0
0.153,511.0
0.154,513.0
0.155,517.0
0.156,519.0
0.157,523.0
0.158,528.0
0.159,530.0
0.16,529.0
0.161,528.0
0.162,525.0
0.163,520.0
0.164,516.0
0.165,512.0
0.166,512.0
0.167,513.0
0.168,512.0
0.169,513.0
0.17,516.0
0.171,520.0
0.17200000000000001,522.0
0.17300000000000001,524.0
0.17400000000000002,525.0
0.17500000000000002,526.0
0.176,526.0
0.177,527.0
0.178,526.0
0.179,523.0
0.18,519.0
0.181,515.0
0.182,511.0
0.183,509.0
0.184,507.0
0.185,505.0
0.186,505.0
0.187,505.0
0.188,505.0
0.189,507.0
0.19,510.0
0.191,514.0
0.192,516.0
0.193,516.0
0.194,514.0
0.195,509.0
