t5,d_sensor5
0.0,470.0
0.001,468.0
0.002,467.0
0.003,468.0
0.004,470.0
0.005,463.0
0.006,459.0
0.007,459.0
0.008,461.0
0.009000000000000001,463.0
0.01,461.0
0.011,466.0
0.012,470.0
0.013000000000000001,469.0
0.014,463.0
0.015,456.0
0.016,455.0
0.017,455.0
0.018000000000000002,456.0
0.019,459.0
0.02,457.0
0.021,456.0
0.022,461.0
0.023,465.0
0.024,470.0
0.025,478.0
0.026000000000000002,483.0
0.027,481.0
0.028,476.0
0.029,471.0
0.03,465.0
0.031,458.0
0.032,455.0
0.033,454.0
0.034,455.0
0.035,459.0
0.036000000000000004,461.0
0.037,461.0
0.038,459.0
0.039,459.0
0.04,463.0
0.041,462.0
0.042,460.0
0.043000000000000003,459.0
0.044,457.0
0.045,458.0
0.046,463.0
0.047,471.0
0.048,477.0
0.049,472.0
0.05,466.0
0.051000000000000004,467.0
0.052000000000000005,469.0
0.053,469.0
0.054,470.0
0.055,470.0
0.056,470.0
0.057,469.0
0.058,469.0
0.059000000000000004,467.0
0.06,463.0
0.061,466.0
0.062,470.0
0.063,470.0
0.064,468.0
0.065,470.0
0.066,471.0
0.067,469.0
0.068,465.0
0.069,463.0
0.07,463.0
0.07100000000000001,467.0
0.07200000000000001,475.0
0.073,481.0
0.074,486.0
0.075,486.0
0.076,479.0
0.077,465.0
0.078,459.0
0.079,461.0
0.08,472.0
0.081,477.0
0.082,482.0
0.083,489.0
0.084,491.0
0.085,482.0
0.08600000000000001,471.0
0.08700000000000001,466.0
0.088,463.0
0.089,463.0
0.09,465.0
0.091,469.0
0.092,473.0
0.093,476.0
0.094,477.0
0.095,481.0
0.096,486.0
0.097,494.0
0.098,501.0
0.099,506.0
0.1,508.0
0.101,509.0
0.10200000000000001,509.0
0.10300000000000001,506.0
0.10400000000000001,510.0
0.105,514.0
0.106,515.0
0.107,507.0
0.108,496.0
0.109,491.0
0.11,492.0
0.111,496.0
0.112,497.0
0.113,491.0
0.114,483.0
0.115,482.0
0.116,486.0
0.117,486.0
0.11800000000000001,484.0
0.11900000000000001,486.0
0.12,487.0
0.121,484.0
0.122,483.0
0.123,487.0
0.124,487.0
0.125,488.0
0.126,489.0
0.127,489.0
0.128,487.0
0.129,489.0
0.13,496.0
0.131,500.0
0.132,500.0
0.133,499.0
0.134,498.0
0.135,498.0
0.136,496.0
0.137,496.0
0.138,497.0
0.139,498.0
0.14,497.0
0.14100000000000001,496.0
0.14200000000000002,495.0
0.14300000000000002,498.0
0.14400000000000002,500.0
0.145,498.0
0.146,492.0
0.147,487.0
0.148,486.0
0.149,487.0
0.15,491.0
0.151,496.0
0.152,501.0
0.153,509.0
0.154,515.0
0.155,517.0
0.156,508.0
0.157,494.0
0.158,485.0
0.159,484.0
0.16,487.0
0.161,487.0
0.162,491.0
0.163,498.0
0.164,506.0
0.165,510.0
0.166,512.0
0.167,514.0
0.168,511.0
0.169,508.0
0.17,503.0
0.171,499.0
0.17200000000000001,494.0
0.17300000000000001,489.0
0.17400000000000002,489.0
0.17500000000000002,492.0
0.176,495.0
0.177,498.0
0.178,504.0
0.179,508.0
0.18,508.0
0.181,507.0
0.182,499.0
0.183,488.0
0.184,488.0
0.185,492.0
0.186,499.0
0.187,504.0
0.188,505.0
0.189,505.0
0.19,501.0
0.191,496.0
0.192,499.0
0.193,499.0
0.194,497.0
0.195,497.0
0.196,505.0
0.197,512.0
0.198,514.0
0.199,514.0
0.2,512.0
0.201,512.0
0.202,512.0
0.203,512.0
0.20400000000000001,515.0
0.20500000000000002,519.0
0.20600000000000002,519.0
0.20700000000000002,519.0
0.20800000000000002,517.0
0.209,519.0
0.21,518.0
0.211,515.0
0.212,514.0
0.213,513.0
0.214,513.0
0.215,512.0
0.216,506.0
0.217,504.0
0.218,506.0
0.219,508.0
0.22,512.0
0.221,516.0
0.222,520.0
0.223,522.0
0.224,520.0
0.225,517.0
0.226,516.0
0.227,518.0
0.228,515.0
0.229,507.0
0.23,501.0
0.231,499.0
0.232,498.0
0.233,497.0
0.234,497.0
0.23500000000000001,496.0
0.23600000000000002,497.0
0.23700000000000002,504.0
0.23800000000000002,510.0
0.23900000000000002,510.0
0.24,508.0
0.241,508.0
0.242,510.0
0.243,508.0
0.244,506.0
0.245,509.0
0.246,514.0
0.247,514.0
0.248,512.0
0.249,512.0
0.25,515.0
0.251,519.0
0.252,519.0
0.253,517.0
0.254,512.0
0.255,514.0
0.256,515.0
0.257,515.0
0.258,514.0
0.259,512.0
0.26,514.0
0.261,518.0
0.262,519.0
0.263,518.0
0.264,513.0
0.265,511.0
0.266,511.0
0.267,511.0
0.268,510.0
0.269,508.0
0.27,508.0
0.271,508.0
0.272,509.0
0.273,511.0
0.274,512.0
0.275,508.0
0.276,505.0
0.277,507.0
0.278,510.0
0.279,515.0
0.28,519.0
0.281,514.0
0.28200000000000003,508.0
0.28300000000000003,507.0
0.28400000000000003,510.0
0.28500000000000003,515.0
0.28600000000000003,519.0
0.28700000000000003,522.0
0.28800000000000003,519.0
0.289,518.0
0.29,519.0
0.291,522.0
0.292,525.0
0.293,526.0
0.294,526.0
0.295,527.0
0.296,527.0
0.297,516.0
0.298,505.0
0.299,504.0
0.3,502.0
0.301,504.0
0.302,507.0
0.303,513.0
0.304,522.0
0.305,518.0
0.306,508.0
0.307,506.0
0.308,513.0
0.309,519.0
0.31,526.0
0.311,526.0
0.312,525.0
0.313,535.0
0.314,536.0
0.315,526.0
0.316,513.0
0.317,505.0
0.318,504.0
0.319,504.0
0.32,508.0
0.321,511.0
0.322,507.0
0.323,506.0
0.324,509.0
0.325,511.0
0.326,508.0
0.327,506.0
0.328,512.0
0.329,521.0
0.33,519.0
0.331,508.0
0.332,503.0
0.333,506.0
0.334,510.0
0.335,513.0
0.336,518.0
0.337,518.0
0.338,517.0
0.339,516.0
0.34,520.0
0.341,526.0
0.342,527.0
0.343,525.0
0.34400000000000003,519.0
0.34500000000000003,516.0
0.34600000000000003,509.0
0.34700000000000003,507.0
0.34800000000000003,511.0
0.34900000000000003,515.0
0.35000000000000003,518.0
0.35100000000000003,520.0
0.352,519.0
0.353,517.0
0.354,516.0
0.355,517.0
0.356,520.0
0.357,521.0
0.358,522.0
0.359,521.0
0.36,520.0
0.361,520.0
0.362,518.0
0.363,518.0
0.364,517.0
0.365,517.0
0.366,516.0
0.367,516.0
0.368,515.0
0.369,514.0
0.37,513.0
0.371,513.0
0.372,514.0
0.373,514.0
0.374,515.0
0.375,518.0
0.376,520.0
0.377,520.0
0.378,520.0
0.379,518.0
0.38,516.0
0.381,515.0
0.382,516.0
0.383,515.0
0.384,513.0
0.385,513.0
0.386,517.0
0.387,522.0
0.388,527.0
0.389,530.0
0.39,528.0
0.391,513.0
0.392,495.0
0.393,492.0
0.394,496.0
0.395,504.0
0.396,512.0
0.397,515.0
0.398,510.0
0.399,509.0
0.4,513.0
0.401,521.0
0.402,528.0
0.403,531.0
0.404,527.0
0.405,521.0
0.406,519.0
0.40700000000000003,518.0
0.40800000000000003,522.0
0.40900000000000003,523.0
0.41000000000000003,520.0
0.41100000000000003,520.0
0.41200000000000003,526.0
0.41300000000000003,531.0
0.41400000000000003,529.0
0.41500000000000004,522.0
0.41600000000000004,520.0
0.417,521.0
0.418,519.0
0.419,517.0
0.42,523.0
0.421,529.0
0.422,528.0
0.423,521.0
0.424,518.0
0.425,524.0
0.426,532.0
0.427,539.0
0.428,540.0
0.429,536.0
0.43,529.0
0.431,528.0
0.432,528.0
0.433,524.0
0.434,517.0
0.435,511.0
0.436,512.0
0.437,519.0
0.438,529.0
0.439,524.0
0.44,520.0
0.441,522.0
0.442,526.0
0.443,527.0
0.444,527.0
0.445,530.0
0.446,537.0
0.447,540.0
0.448,542.0
0.449,545.0
0.45,545.0
0.451,543.0
0.452,543.0
0.453,541.0
0.454,536.0
0.455,531.0
0.456,531.0
0.457,531.0
0.458,527.0
0.459,526.0
0.46,523.0
0.461,520.0
0.462,521.0
0.463,526.0
0.464,528.0
0.465,529.0
0.466,526.0
0.467,521.0
0.468,519.0
0.46900000000000003,527.0
0.47000000000000003,532.0
0.47100000000000003,536.0
0.47200000000000003,539.0
0.47300000000000003,538.0
0.47400000000000003,538.0
0.47500000000000003,536.0
0.47600000000000003,532.0
0.47700000000000004,529.0
0.47800000000000004,527.0
0.47900000000000004,524.0
0.48,521.0
0.481,517.0
0.482,515.0
0.483,514.0
0.484,512.0
0.485,506.0
0.486,505.0
0.487,508.0
0.488,509.0
0.489,511.0
0.49,511.0
0.491,510.0
0.492,509.0
0.493,509.0
0.494,510.0
0.495,511.0
0.496,511.0
0.497,511.0
0.498,510.0
0.499,509.0
0.5,516.0
0.501,521.0
0.502,520.0
0.503,528.0
