t3,d_sensor3
0.0,502.0
0.001,508.0
0.002,512.0
0.003,514.0
0.004,512.0
0.005,509.0
0.006,504.0
0.007,498.0
0.008,492.0
0.009000000000000001,488.0
0.01,483.0
0.011,483.0
0.012,484.0
0.013000000000000001,488.0
0.014,492.0
0.015,496.0
0.016,502.0
0.017,507.0
0.018000000000000002,512.0
0.019,515.0
0.02,516.0
0.021,514.0
0.022,510.0
0.023,504.0
0.024,497.0
0.025,491.0
0.026000000000000002,487.0
0.027,484.0
0.028,483.0
0.029,483.0
0.03,484.0
0.031,488.0
0.032,494.0
0.033,499.0
0.034,505.0
0.035,511.0
0.036000000000000004,515.0
0.037,515.0
0.038,511.0
0.039,507.0
0.04,503.0
0.041,497.0
0.042,490.0
0.043000000000000003,485.0
0.044,483.0
0.045,485.0
0.046,489.0
0.047,496.0
0.048,499.0
0.049,504.0
0.05,509.0
0.051000000000000004,515.0
0.052000000000000005,518.0
0.053,519.0
0.054,518.0
0.055,515.0
0.056,510.0
0.057,504.0
0.058,498.0
0.059000000000000004,494.0
0.06,489.0
0.061,487.0
0.062,487.0
0.063,488.0
0.064,492.0
0.065,496.0
0.066,502.0
0.067,510.0
0.068,516.0
0.069,519.0
0.07,518.0
0.07100000000000001,515.0
0.07200000000000001,511.0
0.073,506.0
0.074,501.0
0.075,496.0
0.076,492.0
0.077,487.0
0.078,485.0
0.079,485.0
0.08,487.0
0.081,489.0
0.082,493.0
0.083,500.0
0.084,506.0
0.085,510.0
0.08600000000000001,513.0
0.08700000000000001,513.0
0.088,512.0
0.089,510.0
0.09,506.0
0.091,501.0
0.092,495.0
0.093,491.0
0.094,489.0
0.095,489.0
0.096,491.0
0.097,495.0
0.098,502.0
0.099,508.0
0.1,514.0
0.101,520.0
0.10200000000000001,524.0
0.10300000000000001,524.0
0.10400000000000001,523.0
0.105,519.0
0.106,515.0
0.107,510.0
0.108,503.0
0.109,497.0
0.11,493.0
0.111,491.0
0.112,489.0
0.113,491.0
0.114,492.0
0.115,496.0
0.116,502.0
0.117,510.0
0.11800000000000001,516.0
0.11900000000000001,521.0
0.12,523.0
0.121,521.0
0.122,516.0
0.123,512.0
0.124,507.0
0.125,502.0
0.126,498.0
0.127,494.0
0.128,491.0
0.129,492.0
0.13,494.0
0.131,499.0
0.132,504.0
0.133,509.0
0.134,513.0
0.135,518.0
0.136,520.0
0.137,521.0
0.138,519.0
0.139,516.0
0.14,511.0
0.14100000000000001,505.0
0.14200000000000002,500.0
0.14300000000000002,497.0
0.14400000000000002,494.0
0.145,493.0
0.146,495.0
0.147,497.0
0.148,500.0
0.149,505.0
0.15,510.0
0.151,514.0
0.152,518.0
0.153,519.0
0.154,518.0
0.155,515.0
0.156,511.0
0.157,506.0
0.158,503.0
0.159,499.0
0.16,494.0
0.161,490.0
0.162,489.0
0.163,492.0
0.164,495.0
0.165,499.0
0.166,507.0
0.167,514.0
0.168,518.0
0.169,520.0
0.17,521.0
0.171,520.0
0.17200000000000001,517.0
0.17300000000000001,512.0
0.17400000000000002,507.0
0.17500000000000002,501.0
0.176,494.0
0.177,489.0
0.178,487.0
0.179,489.0
0.18,494.0
0.181,499.0
0.182,505.0
0.183,512.0
0.184,518.0
0.185,523.0
0.186,526.0
0.187,525.0
0.188,522.0
0.189,520.0
0.19,516.0
0.191,512.0
0.192,508.0
0.193,503.0
0.194,499.0
0.195,498.0
0.196,499.0
0.197,499.0
0.198,503.0
0.199,508.0
0.2,512.0
0.201,518.0
0.202,521.0
0.203,524.0
0.20400000000000001,523.0
0.20500000000000002,519.0
0.20600000000000002,512.0
0.20700000000000002,507.0
0.20800000000000002,500.0
0.209,496.0
0.21,492.0
0.211,490.0
0.212,490.0
0.213,493.0
0.214,496.0
0.215,502.0
0.216,508.0
0.217,515.0
0.218,520.0
0.219,524.0
0.22,524.0
0.221,523.0
0.222,521.0
0.223,517.0
0.224,511.0
0.225,506.0
0.226,500.0
0.227,495.0
0.228,492.0
0.229,493.0
0.23,496.0
0.231,502.0
0.232,508.0
0.233,515.0
0.234,520.0
0.23500000000000001,524.0
0.23600000000000002,525.0
0.23700000000000002,524.0
0.23800000000000002,521.0
0.23900000000000002,515.0
0.24,510.0
0.241,505.0
0.242,500.0
0.243,496.0
0.244,495.0
0.245,494.0
0.246,496.0
0.247,501.0
0.248,505.0
0.249,511.0
0.25,516.0
0.251,523.0
0.252,527.0
0.253,529.0
0.254,528.0
0.255,524.0
0.256,520.0
0.257,515.0
0.258,510.0
0.259,504.0
0.26,498.0
0.261,495.0
0.262,495.0
0.263,498.0
0.264,501.0
0.265,505.0
0.266,511.0
0.267,518.0
0.268,522.0
0.269,525.0
0.27,526.0
0.271,524.0
0.272,520.0
0.273,515.0
0.274,510.0
0.275,504.0
0.276,499.0
0.277,495.0
0.278,492.0
0.279,494.0
0.28,496.0
0.281,501.0
0.28200000000000003,508.0
0.28300000000000003,513.0
0.28400000000000003,518.0
0.28500000000000003,521.0
0.28600000000000003,523.0
0.28700000000000003,522.0
0.28800000000000003,518.0
0.289,513.0
0.29,508.0
0.291,502.0
0.292,497.0
0.293,495.0
0.294,496.0
0.295,498.0
0.296,501.0
0.297,504.0
0.298,506.0
0.299,511.0
0.3,516.0
0.301,522.0
0.302,527.0
0.303,531.0
0.304,531.0
0.305,526.0
0.306,522.0
0.307,519.0
0.308,514.0
0.309,511.0
0.31,507.0
0.311,505.0
0.312,507.0
0.313,509.0
0.314,513.0
0.315,518.0
0.316,524.0
0.317,530.0
0.318,536.0
0.319,541.0
0.32,542.0
0.321,540.0
0.322,536.0
0.323,531.0
0.324,526.0
0.325,519.0
0.326,514.0
0.327,512.0
0.328,511.0
0.329,512.0
0.33,513.0
0.331,516.0
0.332,520.0
0.333,526.0
0.334,531.0
0.335,535.0
0.336,536.0
0.337,536.0
0.338,531.0
0.339,527.0
0.34,523.0
0.341,519.0
0.342,514.0
0.343,510.0
0.34400000000000003,505.0
0.34500000000000003,503.0
0.34600000000000003,505.0
0.34700000000000003,510.0
0.34800000000000003,515.0
0.34900000000000003,522.0
0.35000000000000003,528.0
0.35100000000000003,534.0
0.352,536.0
0.353,536.0
0.354,535.0
0.355,531.0
0.356,527.0
0.357,521.0
0.358,515.0
0.359,511.0
0.36,505.0
0.361,503.0
0.362,504.0
0.363,507.0
0.364,511.0
0.365,514.0
0.366,518.0
0.367,522.0
0.368,525.0
0.369,527.0
0.37,525.0
0.371,520.0
0.372,515.0
0.373,508.0
0.374,502.0
0.375,496.0
0.376,492.0
0.377,488.0
0.378,487.0
0.379,487.0
0.38,490.0
0.381,494.0
0.382,499.0
0.383,503.0
0.384,508.0
0.385,510.0
0.386,511.0
0.387,512.0
0.388,511.0
0.389,508.0
0.39,503.0
0.391,499.0
0.392,494.0
0.393,491.0
0.394,489.0
0.395,487.0
0.396,487.0
0.397,489.0
0.398,494.0
0.399,499.0
0.4,504.0
0.401,508.0
0.402,511.0
0.403,513.0
0.404,512.0
0.405,508.0
0.406,503.0
0.40700000000000003,497.0
0.40800000000000003,489.0
0.40900000000000003,483.0
0.41000000000000003,479.0
0.41100000000000003,476.0
0.41200000000000003,472.0
0.41300000000000003,470.0
0.41400000000000003,470.0
0.41500000000000004,473.0
0.41600000000000004,478.0
0.417,483.0
0.418,488.0
0.419,494.0
0.42,499.0
0.421,502.0
0.422,505.0
0.423,508.0
0.424,511.0
0.425,514.0
0.426,518.0
0.427,525.0
0.428,536.0
0.429,550.0
0.43,568.0
0.431,587.0
0.432,609.0
0.433,630.0
0.434,651.0
0.435,671.0
0.436,690.0
0.437,707.0
0.438,720.0
0.439,730.0
0.44,734.0
0.441,736.0
0.442,738.0
0.443,736.0
0.444,735.0
0.445,733.0
0.446,732.0
0.447,728.0
0.448,724.0
